date,store_id,product_code,product_name,main_category,sub_category,unit,stock_level,sales_quantity,expiration_days_left,ordered_quantity
2025-08,STORE_002,P016,항암제_16,전문의약품,항암제,tube,80,40,46,0
2025-08,STORE_003,P016,항암제_16,전문의약품,항암제,tube,100,45,335,0
2025-08,STORE_004,P016,항암제_16,전문의약품,항암제,tube,105,45,177,0
2025-08,STORE_005,P016,항암제_16,전문의약품,항암제,tube,125,5,201,0
2025-08,STORE_001,P017,감기약_17,일반의약품,감기약,tube,125,45,321,0
2025-08,STORE_002,P017,감기약_17,일반의약품,감기약,tube,65,45,131,0
2025-08,STORE_003,P017,감기약_17,일반의약품,감기약,tube,120,45,340,0
2025-08,STORE_004,P017,감기약_17,일반의약품,감기약,tube,40,55,95,0
2025-08,STORE_005,P017,감기약_17,일반의약품,감기약,tube,70,40,303,0
2025-08,STORE_001,P018,정신신경용제_18,전문의약품,정신신경용제,bottle,70,35,46,0
2025-08,STORE_002,P018,정신신경용제_18,전문의약품,정신신경용제,bottle,115,50,313,0
2025-08,STORE_003,P018,정신신경용제_18,전문의약품,정신신경용제,bottle,125,40,326,0
2025-08,STORE_004,P018,정신신경용제_18,전문의약품,정신신경용제,bottle,130,20,279,0
2025-08,STORE_005,P018,정신신경용제_18,전문의약품,정신신경용제,bottle,75,50,229,0
2025-08,STORE_001,P019,외용제_19,일반의약품,외용제,bottle,105,65,259,0
2025-08,STORE_002,P019,외용제_19,일반의약품,외용제,bottle,125,15,264,0
2025-08,STORE_003,P019,외용제_19,일반의약품,외용제,bottle,105,35,142,0
2025-08,STORE_004,P019,외용제_19,일반의약품,외용제,bottle,60,40,283,0
2025-08,STORE_005,P019,외용제_19,일반의약품,외용제,bottle,80,35,227,0
2025-08,STORE_001,P020,소화제_20,일반의약품,소화제,box,120,55,170,0
2025-08,STORE_002,P020,소화제_20,일반의약품,소화제,box,100,65,123,0
2025-08,STORE_003,P020,소화제_20,일반의약품,소화제,box,95,35,50,0
2025-08,STORE_004,P020,소화제_20,일반의약품,소화제,box,105,45,330,0
2025-08,STORE_005,P020,소화제_20,일반의약품,소화제,box,110,50,141,0
2025-08,STORE_001,P021,항암제_21,전문의약품,항암제,pack,125,75,67,0
2025-08,STORE_002,P021,항암제_21,전문의약품,항암제,pack,90,65,344,0
2025-08,STORE_003,P021,항암제_21,전문의약품,항암제,pack,105,60,170,0
2025-08,STORE_004,P021,항암제_21,전문의약품,항암제,pack,115,65,291,0
2025-08,STORE_005,P021,항암제_21,전문의약품,항암제,pack,110,60,239,0
2025-08,STORE_001,P022,마스크_22,의약외품,마스크,pack,120,35,342,0
2025-08,STORE_002,P022,마스크_22,의약외품,마스크,pack,120,50,65,0
2025-08,STORE_003,P022,마스크_22,의약외품,마스크,pack,90,35,135,0
2025-08,STORE_004,P022,마스크_22,의약외품,마스크,pack,70,65,60,0
2025-08,STORE_005,P022,마스크_22,의약외품,마스크,pack,90,45,165,0
2025-08,STORE_001,P023,진통소염제_23,전문의약품,진통소염제,bottle,115,30,302,0
2025-08,STORE_002,P023,진통소염제_23,전문의약품,진통소염제,bottle,110,60,275,0
2025-08,STORE_003,P023,진통소염제_23,전문의약품,진통소염제,bottle,115,45,199,0
2025-08,STORE_004,P023,진통소염제_23,전문의약품,진통소염제,bottle,60,70,346,0
2025-08,STORE_005,P023,진통소염제_23,전문의약품,진통소염제,bottle,90,35,41,0
2025-08,STORE_001,P024,방역용품_24,의약외품,방역용품,bottle,100,40,74,0
2025-08,STORE_002,P024,방역용품_24,의약외품,방역용품,bottle,115,50,226,0
2025-08,STORE_003,P024,방역용품_24,의약외품,방역용품,bottle,105,25,37,0
2025-08,STORE_004,P024,방역용품_24,의약외품,방역용품,bottle,110,35,34,0
2025-08,STORE_005,P024,방역용품_24,의약외품,방역용품,bottle,75,35,89,0
2025-08,STORE_001,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,115,45,136,0
2025-08,STORE_002,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,80,60,94,0
2025-08,STORE_003,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,125,45,281,0
2025-08,STORE_004,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,115,30,345,0
2025-08,STORE_005,P025,당뇨병_치료제_25,전문의약품,당뇨병_치료제,bottle,120,50,243,0
2025-08,STORE_001,P026,항암제_26,전문의약품,항암제,bottle,110,70,324,0
2025-08,STORE_002,P026,항암제_26,전문의약품,항암제,bottle,130,55,96,0
2025-08,STORE_003,P026,항암제_26,전문의약품,항암제,bottle,95,30,173,0
2025-08,STORE_004,P026,항암제_26,전문의약품,항암제,bottle,110,60,156,0
2025-08,STORE_005,P026,항암제_26,전문의약품,항암제,bottle,125,40,337,0
2025-08,STORE_001,P027,멀미약_27,일반의약품,멀미약,box,105,55,273,0
2025-08,STORE_002,P027,멀미약_27,일반의약품,멀미약,box,85,30,34,0
2025-08,STORE_003,P027,멀미약_27,일반의약품,멀미약,box,70,60,287,0
2025-08,STORE_004,P027,멀미약_27,일반의약품,멀미약,box,85,30,239,0
2025-08,STORE_005,P027,멀미약_27,일반의약품,멀미약,box,80,50,268,0
2025-08,STORE_001,P028,멀미약_28,일반의약품,멀미약,pack,95,40,127,0
2025-08,STORE_002,P028,멀미약_28,일반의약품,멀미약,pack,115,35,210,0
2025-08,STORE_003,P028,멀미약_28,일반의약품,멀미약,pack,80,65,278,0
2025-08,STORE_004,P028,멀미약_28,일반의약품,멀미약,pack,120,55,120,0
2025-08,STORE_005,P028,멀미약_28,일반의약품,멀미약,pack,105,40,94,0
2025-08,STORE_001,P029,멀미약_29,일반의약품,멀미약,pack,100,25,73,0
2025-08,STORE_002,P029,멀미약_29,일반의약품,멀미약,pack,65,55,272,0
2025-08,STORE_003,P029,멀미약_29,일반의약품,멀미약,pack,90,45,216,0
2025-08,STORE_004,P029,멀미약_29,일반의약품,멀미약,pack,110,75,43,0
2025-08,STORE_005,P029,멀미약_29,일반의약품,멀미약,pack,100,55,248,0
2025-08,STORE_001,P030,진통소염제_30,전문의약품,진통소염제,tube,85,55,241,0
2025-08,STORE_002,P030,진통소염제_30,전문의약품,진통소염제,tube,100,60,337,0
2025-08,STORE_003,P030,진통소염제_30,전문의약품,진통소염제,tube,100,55,165,0
2025-08,STORE_004,P030,진통소염제_30,전문의약품,진통소염제,tube,85,60,209,0
2025-08,STORE_005,P030,진통소염제_30,전문의약품,진통소염제,tube,95,65,123,0
2025-08,STORE_001,P031,방역용품_31,의약외품,방역용품,pack,80,45,339,0
2025-08,STORE_002,P031,방역용품_31,의약외품,방역용품,pack,90,50,115,0
2025-08,STORE_003,P031,방역용품_31,의약외품,방역용품,pack,75,50,127,0
2025-08,STORE_004,P031,방역용품_31,의약외품,방역용품,pack,115,55,169,0
2025-08,STORE_005,P031,방역용품_31,의약외품,방역용품,pack,95,40,84,0
2025-08,STORE_001,P032,해열진통제_32,일반의약품,해열진통제,box,80,55,184,0
2025-08,STORE_002,P032,해열진통제_32,일반의약품,해열진통제,box,65,50,211,0
2025-08,STORE_003,P032,해열진통제_32,일반의약품,해열진통제,box,80,60,344,0
2025-08,STORE_004,P032,해열진통제_32,일반의약품,해열진통제,box,65,60,30,0
2025-08,STORE_005,P032,해열진통제_32,일반의약품,해열진통제,box,110,65,206,0
2025-08,STORE_001,P033,기타_전문의약품_33,전문의약품,기타_전문의약품,box,115,30,39,0
2025-08,STORE_002,P033,기타_전문의약품_33,전문의약품,기타_전문의약품,box,80,60,129,0
2025-08,STORE_003,P033,기타_전문의약품_33,전문의약품,기타_전문의약품,box,140,60,39,0
2025-08,STORE_004,P033,기타_전문의약품_33,전문의약품,기타_전문의약품,box,125,50,108,0
2025-08,STORE_005,P033,기타_전문의약품_33,전문의약품,기타_전문의약품,box,85,25,57,0
2025-08,STORE_001,P034,체온계_34,의약외품,체온계,bottle,100,40,153,0
2025-08,STORE_002,P034,체온계_34,의약외품,체온계,bottle,95,40,282,0
2025-08,STORE_003,P034,체온계_34,의약외품,체온계,bottle,115,60,247,0
2025-08,STORE_004,P034,체온계_34,의약외품,체온계,bottle,110,40,344,0
2025-08,STORE_005,P034,체온계_34,의약외품,체온계,bottle,80,20,241,0
2025-08,STORE_001,P035,고혈압_치료제_35,전문의약품,고혈압_치료제,bottle,90,65,318,0
2025-08,STORE_002,P035,고혈압_치료제_35,전문의약품,고혈압_치료제,bottle,110,45,258,0
2025-08,STORE_003,P035,고혈압_치료제_35,전문의약품,고혈압_치료제,bottle,75,45,250,0
2025-08,STORE_004,P035,고혈압_치료제_35,전문의약품,고혈압_치료제,bottle,95,40,131,0
2025-08,STORE_005,P035,고혈압_치료제_35,전문의약품,고혈압_치료제,bottle,90,65,214,0
2025-08,STORE_001,P036,항암제_36,전문의약품,항암제,tube,90,40,350,0
2025-08,STORE_002,P036,항암제_36,전문의약품,항암제,tube,95,65,222,0
2025-08,STORE_003,P036,항암제_36,전문의약품,항암제,tube,110,50,30,0
2025-08,STORE_004,P036,항암제_36,전문의약품,항암제,tube,100,95,93,0
2025-08,STORE_005,P036,항암제_36,전문의약품,항암제,tube,75,90,266,0
2025-08,STORE_001,P037,방역용품_37,의약외품,방역용품,tube,110,25,104,0
2025-08,STORE_002,P037,방역용품_37,의약외품,방역용품,tube,160,45,357,0
2025-08,STORE_003,P037,방역용품_37,의약외품,방역용품,tube,90,50,124,0
2025-08,STORE_004,P037,방역용품_37,의약외품,방역용품,tube,95,65,123,0
2025-08,STORE_005,P037,방역용품_37,의약외품,방역용품,tube,145,45,319,0
2025-08,STORE_001,P038,당뇨병_치료제_38,전문의약품,당뇨병_치료제,pack,130,65,75,0
2025-08,STORE_002,P038,당뇨병_치료제_38,전문의약품,당뇨병_치료제,pack,60,30,133,0
2025-08,STORE_003,P038,당뇨병_치료제_38,전문의약품,당뇨병_치료제,pack,145,70,295,0
2025-08,STORE_004,P038,당뇨병_치료제_38,전문의약품,당뇨병_치료제,pack,115,60,111,0
2025-08,STORE_005,P038,당뇨병_치료제_38,전문의약품,당뇨병_치료제,pack,110,40,111,0
2025-08,STORE_001,P039,항암제_39,전문의약품,항암제,bottle,120,50,44,0
2025-08,STORE_002,P039,항암제_39,전문의약품,항암제,bottle,75,60,302,0
2025-08,STORE_003,P039,항암제_39,전문의약품,항암제,bottle,95,50,281,0
2025-08,STORE_004,P039,항암제_39,전문의약품,항암제,bottle,75,45,337,0
2025-08,STORE_005,P039,항암제_39,전문의약품,항암제,bottle,105,55,326,0
2025-08,STORE_001,P040,외용제_40,일반의약품,외용제,tube,80,35,135,0
2025-08,STORE_002,P040,외용제_40,일반의약품,외용제,tube,105,30,275,0
2025-08,STORE_003,P040,외용제_40,일반의약품,외용제,tube,60,50,97,0
2025-08,STORE_004,P040,외용제_40,일반의약품,외용제,tube,95,40,316,0
2025-08,STORE_005,P040,외용제_40,일반의약품,외용제,tube,110,30,199,0
